id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,jenis_kriminalitas,jumlah_tindak_pidana,satuan,tahun
1,32,JAWA BARAT,3273,KOTA BANDUNG,CURANMOR R-2,355,KASUS,2017
2,32,JAWA BARAT,3273,KOTA BANDUNG,CURANMOR R-4,62,KASUS,2017
3,32,JAWA BARAT,3273,KOTA BANDUNG,CURI BERAT,369,KASUS,2017
4,32,JAWA BARAT,3273,KOTA BANDUNG,CURI KERAS,178,KASUS,2017
5,32,JAWA BARAT,3273,KOTA BANDUNG,CURI BIASA,165,KASUS,2017
6,32,JAWA BARAT,3273,KOTA BANDUNG,ANIAYA RINGAN,52,KASUS,2017
7,32,JAWA BARAT,3273,KOTA BANDUNG,ANIAYA BERAT,206,KASUS,2017
8,32,JAWA BARAT,3273,KOTA BANDUNG,PENIPUAN,815,KASUS,2017
9,32,JAWA BARAT,3273,KOTA BANDUNG,PENGGELAPAN,238,KASUS,2017
10,32,JAWA BARAT,3273,KOTA BANDUNG,PERAS / ANC.KERAS,50,KASUS,2017
11,32,JAWA BARAT,3273,KOTA BANDUNG,PENGRUSAKAN,33,KASUS,2017
12,32,JAWA BARAT,3273,KOTA BANDUNG,PEMBUNUHAN,3,KASUS,2017
13,32,JAWA BARAT,3273,KOTA BANDUNG,PERKOSAAN,10,KASUS,2017
14,32,JAWA BARAT,3273,KOTA BANDUNG,PERZINAHAN,9,KASUS,2017
15,32,JAWA BARAT,3273,KOTA BANDUNG,PENCULIKAN,4,KASUS,2017
16,32,JAWA BARAT,3273,KOTA BANDUNG,PEMALSUAN MATA UANG,3,KASUS,2017
17,32,JAWA BARAT,3273,KOTA BANDUNG,PEMALSUAN SURAT,43,KASUS,2017
18,32,JAWA BARAT,3273,KOTA BANDUNG,PEMALSUAN MERK,37,KASUS,2017
19,32,JAWA BARAT,3273,KOTA BANDUNG,SUMPAH PALSU,2,KASUS,2017
20,32,JAWA BARAT,3273,KOTA BANDUNG,PERJUDIAN,7,KASUS,2017
21,32,JAWA BARAT,3273,KOTA BANDUNG,PENGHINAAN,25,KASUS,2017
22,32,JAWA BARAT,3273,KOTA BANDUNG,PENADAHAN,3,KASUS,2017
23,32,JAWA BARAT,3273,KOTA BANDUNG,KORUPSI,2,KASUS,2017
24,32,JAWA BARAT,3273,KOTA BANDUNG,"SENPI, HANDAK, SAJAM",33,KASUS,2017
25,32,JAWA BARAT,3273,KOTA BANDUNG,LAIN-LAIN KRIMINALITAAS,911,KASUS,2017
26,32,JAWA BARAT,3273,KOTA BANDUNG,NARKOTIKA,0,KASUS,2017
27,32,JAWA BARAT,3273,KOTA BANDUNG,CURANMOR R-2,329,KASUS,2018
28,32,JAWA BARAT,3273,KOTA BANDUNG,CURANMOR R-4,59,KASUS,2018
29,32,JAWA BARAT,3273,KOTA BANDUNG,CURI BERAT,365,KASUS,2018
30,32,JAWA BARAT,3273,KOTA BANDUNG,CURI KERAS,181,KASUS,2018
31,32,JAWA BARAT,3273,KOTA BANDUNG,CURI BIASA,176,KASUS,2018
32,32,JAWA BARAT,3273,KOTA BANDUNG,ANIAYA RINGAN,43,KASUS,2018
33,32,JAWA BARAT,3273,KOTA BANDUNG,ANIAYA BERAT,243,KASUS,2018
34,32,JAWA BARAT,3273,KOTA BANDUNG,PENIPUAN,769,KASUS,2018
35,32,JAWA BARAT,3273,KOTA BANDUNG,PENGGELAPAN,284,KASUS,2018
36,32,JAWA BARAT,3273,KOTA BANDUNG,PERAS / ANC.KERAS,58,KASUS,2018
37,32,JAWA BARAT,3273,KOTA BANDUNG,PENGRUSAKAN,36,KASUS,2018
38,32,JAWA BARAT,3273,KOTA BANDUNG,PEMBUNUHAN,0,KASUS,2018
39,32,JAWA BARAT,3273,KOTA BANDUNG,PERKOSAAN,11,KASUS,2018
40,32,JAWA BARAT,3273,KOTA BANDUNG,PERZINAHAN,11,KASUS,2018
41,32,JAWA BARAT,3273,KOTA BANDUNG,PENCULIKAN,2,KASUS,2018
42,32,JAWA BARAT,3273,KOTA BANDUNG,PEMALSUAN MATA UANG,1,KASUS,2018
43,32,JAWA BARAT,3273,KOTA BANDUNG,PEMALSUAN SURAT,32,KASUS,2018
44,32,JAWA BARAT,3273,KOTA BANDUNG,PEMALSUAN MERK,4,KASUS,2018
45,32,JAWA BARAT,3273,KOTA BANDUNG,SUMPAH PALSU,0,KASUS,2018
46,32,JAWA BARAT,3273,KOTA BANDUNG,PERJUDIAN,4,KASUS,2018
47,32,JAWA BARAT,3273,KOTA BANDUNG,PENGHINAAN,13,KASUS,2018
48,32,JAWA BARAT,3273,KOTA BANDUNG,PENADAHAN,2,KASUS,2018
49,32,JAWA BARAT,3273,KOTA BANDUNG,KORUPSI,0,KASUS,2018
50,32,JAWA BARAT,3273,KOTA BANDUNG,"SENPI, HANDAK, SAJAM",37,KASUS,2018
51,32,JAWA BARAT,3273,KOTA BANDUNG,LAIN-LAIN KRIMINALITAAS,834,KASUS,2018
52,32,JAWA BARAT,3273,KOTA BANDUNG,NARKOTIKA,0,KASUS,2018
53,32,JAWA BARAT,3273,KOTA BANDUNG,CURANMOR R-2,291,KASUS,2019
54,32,JAWA BARAT,3273,KOTA BANDUNG,CURANMOR R-4,44,KASUS,2019
55,32,JAWA BARAT,3273,KOTA BANDUNG,CURI BERAT,331,KASUS,2019
56,32,JAWA BARAT,3273,KOTA BANDUNG,CURI KERAS,110,KASUS,2019
57,32,JAWA BARAT,3273,KOTA BANDUNG,CURI BIASA,146,KASUS,2019
58,32,JAWA BARAT,3273,KOTA BANDUNG,ANIAYA RINGAN,43,KASUS,2019
59,32,JAWA BARAT,3273,KOTA BANDUNG,ANIAYA BERAT,237,KASUS,2019
60,32,JAWA BARAT,3273,KOTA BANDUNG,PENIPUAN,750,KASUS,2019
61,32,JAWA BARAT,3273,KOTA BANDUNG,PENGGELAPAN,268,KASUS,2019
62,32,JAWA BARAT,3273,KOTA BANDUNG,PERAS / ANC.KERAS,38,KASUS,2019
63,32,JAWA BARAT,3273,KOTA BANDUNG,PENGRUSAKAN,28,KASUS,2019
64,32,JAWA BARAT,3273,KOTA BANDUNG,PEMBUNUHAN,4,KASUS,2019
65,32,JAWA BARAT,3273,KOTA BANDUNG,PERKOSAAN,5,KASUS,2019
66,32,JAWA BARAT,3273,KOTA BANDUNG,PERZINAHAN,12,KASUS,2019
67,32,JAWA BARAT,3273,KOTA BANDUNG,PENCULIKAN,3,KASUS,2019
68,32,JAWA BARAT,3273,KOTA BANDUNG,PEMALSUAN MATA UANG,1,KASUS,2019
69,32,JAWA BARAT,3273,KOTA BANDUNG,PEMALSUAN SURAT,43,KASUS,2019
70,32,JAWA BARAT,3273,KOTA BANDUNG,PEMALSUAN MERK,2,KASUS,2019
71,32,JAWA BARAT,3273,KOTA BANDUNG,SUMPAH PALSU,0,KASUS,2019
72,32,JAWA BARAT,3273,KOTA BANDUNG,PERJUDIAN,6,KASUS,2019
73,32,JAWA BARAT,3273,KOTA BANDUNG,PENGHINAAN,22,KASUS,2019
74,32,JAWA BARAT,3273,KOTA BANDUNG,PENADAHAN,2,KASUS,2019
75,32,JAWA BARAT,3273,KOTA BANDUNG,KORUPSI,1,KASUS,2019
76,32,JAWA BARAT,3273,KOTA BANDUNG,"SENPI, HANDAK, SAJAM",29,KASUS,2019
77,32,JAWA BARAT,3273,KOTA BANDUNG,LAIN-LAIN KRIMINALITAAS,832,KASUS,2019
78,32,JAWA BARAT,3273,KOTA BANDUNG,NARKOTIKA,0,KASUS,2019
79,32,JAWA BARAT,3273,KOTA BANDUNG,CURANMOR R-2,264,KASUS,2020
80,32,JAWA BARAT,3273,KOTA BANDUNG,CURANMOR R-4,18,KASUS,2020
81,32,JAWA BARAT,3273,KOTA BANDUNG,CURI BERAT,251,KASUS,2020
82,32,JAWA BARAT,3273,KOTA BANDUNG,CURI KERAS,94,KASUS,2020
83,32,JAWA BARAT,3273,KOTA BANDUNG,CURI BIASA,168,KASUS,2020
84,32,JAWA BARAT,3273,KOTA BANDUNG,ANIAYA RINGAN,35,KASUS,2020
85,32,JAWA BARAT,3273,KOTA BANDUNG,ANIAYA BERAT,184,KASUS,2020
86,32,JAWA BARAT,3273,KOTA BANDUNG,PENIPUAN,913,KASUS,2020
87,32,JAWA BARAT,3273,KOTA BANDUNG,PENGGELAPAN,356,KASUS,2020
88,32,JAWA BARAT,3273,KOTA BANDUNG,PERAS / ANC.KERAS,28,KASUS,2020
89,32,JAWA BARAT,3273,KOTA BANDUNG,PENGRUSAKAN,26,KASUS,2020
90,32,JAWA BARAT,3273,KOTA BANDUNG,PEMBUNUHAN,0,KASUS,2020
91,32,JAWA BARAT,3273,KOTA BANDUNG,PERKOSAAN,1,KASUS,2020
92,32,JAWA BARAT,3273,KOTA BANDUNG,PERZINAHAN,4,KASUS,2020
93,32,JAWA BARAT,3273,KOTA BANDUNG,PENCULIKAN,2,KASUS,2020
94,32,JAWA BARAT,3273,KOTA BANDUNG,PEMALSUAN MATA UANG,4,KASUS,2020
95,32,JAWA BARAT,3273,KOTA BANDUNG,PEMALSUAN SURAT,20,KASUS,2020
96,32,JAWA BARAT,3273,KOTA BANDUNG,PEMALSUAN MERK,4,KASUS,2020
97,32,JAWA BARAT,3273,KOTA BANDUNG,SUMPAH PALSU,0,KASUS,2020
98,32,JAWA BARAT,3273,KOTA BANDUNG,PERJUDIAN,5,KASUS,2020
99,32,JAWA BARAT,3273,KOTA BANDUNG,PENGHINAAN,16,KASUS,2020
100,32,JAWA BARAT,3273,KOTA BANDUNG,PENADAHAN,0,KASUS,2020
101,32,JAWA BARAT,3273,KOTA BANDUNG,KORUPSI,2,KASUS,2020
102,32,JAWA BARAT,3273,KOTA BANDUNG,"SENPI, HANDAK, SAJAM",0,KASUS,2020
103,32,JAWA BARAT,3273,KOTA BANDUNG,LAIN-LAIN KRIMINALITAAS,720,KASUS,2020
104,32,JAWA BARAT,3273,KOTA BANDUNG,NARKOTIKA,236,KASUS,2020
105,32,JAWA BARAT,3273,KOTA BANDUNG,CURANMOR R-2,157,KASUS,2021
106,32,JAWA BARAT,3273,KOTA BANDUNG,CURANMOR R-4,25,KASUS,2021
107,32,JAWA BARAT,3273,KOTA BANDUNG,CURI BERAT,257,KASUS,2021
108,32,JAWA BARAT,3273,KOTA BANDUNG,CURI KERAS,62,KASUS,2021
109,32,JAWA BARAT,3273,KOTA BANDUNG,CURI BIASA,154,KASUS,2021
110,32,JAWA BARAT,3273,KOTA BANDUNG,ANIAYA RINGAN,257,KASUS,2021
111,32,JAWA BARAT,3273,KOTA BANDUNG,ANIAYA BERAT,200,KASUS,2021
112,32,JAWA BARAT,3273,KOTA BANDUNG,PENIPUAN,590,KASUS,2021
113,32,JAWA BARAT,3273,KOTA BANDUNG,PENGGELAPAN,210,KASUS,2021
114,32,JAWA BARAT,3273,KOTA BANDUNG,PERAS / ANC.KERAS,0,KASUS,2021
115,32,JAWA BARAT,3273,KOTA BANDUNG,PENGRUSAKAN,16,KASUS,2021
116,32,JAWA BARAT,3273,KOTA BANDUNG,PEMBUNUHAN,7,KASUS,2021
117,32,JAWA BARAT,3273,KOTA BANDUNG,PERKOSAAN,4,KASUS,2021
118,32,JAWA BARAT,3273,KOTA BANDUNG,PERZINAHAN,4,KASUS,2021
119,32,JAWA BARAT,3273,KOTA BANDUNG,PENCULIKAN,0,KASUS,2021
120,32,JAWA BARAT,3273,KOTA BANDUNG,PEMALSUAN MATA UANG,4,KASUS,2021
121,32,JAWA BARAT,3273,KOTA BANDUNG,PEMALSUAN SURAT,0,KASUS,2021
122,32,JAWA BARAT,3273,KOTA BANDUNG,PEMALSUAN MERK,1,KASUS,2021
123,32,JAWA BARAT,3273,KOTA BANDUNG,SUMPAH PALSU,0,KASUS,2021
124,32,JAWA BARAT,3273,KOTA BANDUNG,PERJUDIAN,1,KASUS,2021
125,32,JAWA BARAT,3273,KOTA BANDUNG,PENGHINAAN,6,KASUS,2021
126,32,JAWA BARAT,3273,KOTA BANDUNG,PENADAHAN,0,KASUS,2021
127,32,JAWA BARAT,3273,KOTA BANDUNG,KORUPSI,0,KASUS,2021
128,32,JAWA BARAT,3273,KOTA BANDUNG,"SENPI, HANDAK, SAJAM",0,KASUS,2021
129,32,JAWA BARAT,3273,KOTA BANDUNG,LAIN-LAIN KRIMINALITAAS,0,KASUS,2021
130,32,JAWA BARAT,3273,KOTA BANDUNG,NARKOTIKA,526,KASUS,2021
131,32,JAWA BARAT,3273,KOTA BANDUNG,CURANMOR R-2,209,KASUS,2022
132,32,JAWA BARAT,3273,KOTA BANDUNG,CURANMOR R-4,20,KASUS,2022
133,32,JAWA BARAT,3273,KOTA BANDUNG,CURI BERAT,223,KASUS,2022
134,32,JAWA BARAT,3273,KOTA BANDUNG,CURI KERAS,84,KASUS,2022
135,32,JAWA BARAT,3273,KOTA BANDUNG,CURI BIASA,154,KASUS,2022
136,32,JAWA BARAT,3273,KOTA BANDUNG,ANIAYA RINGAN,58,KASUS,2022
137,32,JAWA BARAT,3273,KOTA BANDUNG,ANIAYA BERAT,223,KASUS,2022
138,32,JAWA BARAT,3273,KOTA BANDUNG,PENIPUAN,634,KASUS,2022
139,32,JAWA BARAT,3273,KOTA BANDUNG,PENGGELAPAN,263,KASUS,2022
140,32,JAWA BARAT,3273,KOTA BANDUNG,PERAS / ANC.KERAS,12,KASUS,2022
141,32,JAWA BARAT,3273,KOTA BANDUNG,PENGRUSAKAN,16,KASUS,2022
142,32,JAWA BARAT,3273,KOTA BANDUNG,PEMBUNUHAN,7,KASUS,2022
143,32,JAWA BARAT,3273,KOTA BANDUNG,PERKOSAAN,9,KASUS,2022
144,32,JAWA BARAT,3273,KOTA BANDUNG,PERZINAHAN,5,KASUS,2022
145,32,JAWA BARAT,3273,KOTA BANDUNG,PENCULIKAN,0,KASUS,2022
146,32,JAWA BARAT,3273,KOTA BANDUNG,PEMALSUAN MATA UANG,1,KASUS,2022
147,32,JAWA BARAT,3273,KOTA BANDUNG,PEMALSUAN SURAT,14,KASUS,2022
148,32,JAWA BARAT,3273,KOTA BANDUNG,PEMALSUAN MERK,0,KASUS,2022
149,32,JAWA BARAT,3273,KOTA BANDUNG,SUMPAH PALSU,0,KASUS,2022
150,32,JAWA BARAT,3273,KOTA BANDUNG,PERJUDIAN,1,KASUS,2022
151,32,JAWA BARAT,3273,KOTA BANDUNG,PENGHINAAN,10,KASUS,2022
152,32,JAWA BARAT,3273,KOTA BANDUNG,PENADAHAN,2,KASUS,2022
153,32,JAWA BARAT,3273,KOTA BANDUNG,KORUPSI,1,KASUS,2022
154,32,JAWA BARAT,3273,KOTA BANDUNG,"SENPI, HANDAK, SAJAM",36,KASUS,2022
155,32,JAWA BARAT,3273,KOTA BANDUNG,LAIN-LAIN KRIMINALITAAS,644,KASUS,2022
156,32,JAWA BARAT,3273,KOTA BANDUNG,NARKOTIKA,0,KASUS,2022
